Date,Region,Cases
2021-02-07,Central,128
2021-02-07,Eastern,1
2021-02-07,Western,0
2021-02-07,Northern,0
2021-02-08,Toronto,3
2021-02-08,Central,140
2021-02-08,Eastern,1
2021-02-08,Western,0
2021-02-08,Northern,0
2021-02-09,Toronto,5
2021-02-09,Central,140
2021-02-09,Eastern,0
2021-02-09,Western,0
2021-02-09,Northern,0
2021-02-10,Toronto,6
2021-02-10,Central,131
2021-02-10,Eastern,0
2021-02-10,Western,0
2021-02-10,Northern,0
2021-02-11,Toronto,13
2021-02-11,Central,126
2021-02-11,Eastern,0
2021-02-11,Western,0
2021-02-11,Northern,0
2021-02-15,Toronto,25
2021-02-15,Central,49
2021-02-15,Eastern,0
2021-02-15,Western,0
2021-02-15,Northern,0
2021-02-16,Toronto,26
2021-02-16,Central,23
2021-02-16,Eastern,0
2021-02-16,Western,0
2021-02-16,Northern,0
2021-02-17,Toronto,25
2021-02-17,Central,28
2021-02-17,Eastern,0
2021-02-17,Western,0
2021-02-17,Northern,0
2021-02-18,Toronto,25
2021-02-18,Central,11
2021-02-18,Eastern,1
2021-02-18,Western,0
2021-02-18,Northern,0
2021-02-21,Toronto,18
2021-02-21,Central,13
2021-02-21,Eastern,1
2021-02-21,Western,0
2021-02-21,Northern,0
2021-02-22,Toronto,16
2021-02-22,Central,40
2021-02-22,Eastern,1
2021-02-22,Western,0
2021-02-22,Northern,0
2021-02-23,Toronto,10
2021-02-23,Central,40
2021-02-23,Eastern,1
2021-02-23,Western,0
2021-02-23,Northern,0
2021-02-24,Toronto,6
2021-02-24,Central,38
2021-02-24,Eastern,1
2021-02-24,Western,0
2021-02-24,Northern,0
2021-02-25,Toronto,4
2021-02-25,Central,57
2021-02-25,Eastern,1
2021-02-25,Western,0
2021-02-25,Northern,0
2021-02-28,Toronto,5
2021-02-28,Central,82
2021-02-28,Eastern,0
2021-02-28,Western,0
2021-02-28,Northern,0
2021-03-01,Toronto,5
2021-03-01,Central,73
2021-03-01,Eastern,0
2021-03-01,Western,0
2021-03-01,Northern,0
2021-03-02,Toronto,5
2021-03-02,Central,78
2021-03-02,Eastern,0
2021-03-02,Western,0
2021-03-02,Northern,0
2021-03-03,Toronto,4
2021-03-03,Central,69
2021-03-03,Eastern,0
2021-03-03,Western,0
2021-03-03,Northern,0
2021-03-04,Toronto,4
2021-03-04,Central,71
2021-03-04,Eastern,0
2021-03-04,Western,0
2021-03-04,Northern,0
2021-03-07,Toronto,6
2021-03-07,Central,59
2021-03-07,Eastern,0
2021-03-07,Western,0
2021-03-07,Northern,0
2021-03-08,Toronto,5
2021-03-08,Central,45
2021-03-08,Eastern,0
2021-03-08,Western,0
2021-03-08,Northern,0
2021-03-09,Toronto,4
2021-03-09,Central,31
2021-03-09,Eastern,0
2021-03-09,Western,0
2021-03-09,Northern,0
2021-03-10,Toronto,6
2021-03-10,Central,27
2021-03-10,Eastern,0
2021-03-10,Western,0
2021-03-10,Northern,0
2021-03-11,Toronto,31
2021-03-11,Central,29
2021-03-11,Eastern,0
2021-03-11,Western,0
2021-03-11,Northern,0
2021-03-14,Toronto,29
2021-03-14,Central,26
2021-03-14,Eastern,0
2021-03-14,Western,0
2021-03-14,Northern,0
2021-03-15,Toronto,29
2021-03-15,Central,23
2021-03-15,Eastern,0
2021-03-15,Western,0
2021-03-15,Northern,0
2021-03-16,Toronto,31
2021-03-16,Central,16
2021-03-16,Eastern,0
2021-03-16,Western,0
2021-03-16,Northern,0
2021-03-17,Toronto,35
2021-03-17,Central,16
2021-03-17,Eastern,0
2021-03-17,Western,0
2021-03-17,Northern,0
2021-03-18,Toronto,34
2021-03-18,Central,13
2021-03-18,Eastern,0
2021-03-18,Western,0
2021-03-18,Northern,0
2021-03-21,Toronto,24
2021-03-21,Central,11
2021-03-21,Eastern,0
2021-03-21,Western,0
2021-03-21,Northern,0
2021-03-22,Toronto,10
2021-03-22,Central,10
2021-03-22,Eastern,0
2021-03-22,Western,0
2021-03-22,Northern,0
2021-03-23,Toronto,14
